fic,gvkey,datadate,iid,conm
ITA,15593,31/1/06,01W,MEDIOBANCA BANCA DI CREDITO
,41539,31/5/24,01W,
CHE,15596,31/1/06,01W,GRAUBUENDNER KANTONALBK
BMU,15598,31/1/06,01W,AEGON LTD
DNK,15600,31/1/06,01W,JYSKE BANK
,41716,31/12/20,01W,
GBR,15602,31/1/06,01W,LAND SECURITIES GROUP PLC
GBR,15603,31/1/06,01W,LEGAL & GEN GROUP PLC
ZAF,15604,31/1/06,02W,LIBERTY GROUP LTD
FIN,15608,31/1/06,04W,POHJOLA GROUP
JPN,15613,31/1/06,01W,NOMURA HOLDINGS INC
JPN,15614,31/1/06,01W,MITSUBISHI UFJ NICOS CO LTD
JPN,15616,31/1/06,01W,NIKKO CORDIAL CORP
NLD,15617,31/1/06,01W,ING GROEP NV
ZAF,15618,31/1/06,01W,NEDBANK GROUP LTD
,19590,31/1/14,01W,
ZAF,15621,31/1/06,01W,MUTUAL AND FEDERAL INSURANCE
JPN,15625,31/1/06,01W,MITSUBISHI ESTATE CO LTD
GBR,15631,31/1/06,01W,VANQUIS BANKING GROUP PLC
MYS,15632,31/1/06,01W,PUBLIC BANK BHD
GBR,15634,31/1/06,02W,NATWEST GROUP PLC
GBR,15638,30/6/24,04W,SCHRODERS PLC
SWE,15640,31/1/06,01W,SKANDIA FORSAEKRING AB
GBR,15644,31/1/06,01W,SEGRO PLC
GBR,15645,31/1/06,01W,STANDARD CHARTERED PLC
SWE,15671,31/10/23,12W,SKANDINAVISKA ENSKILDA BANK
,41818,31/12/20,01W,
NOR,15647,31/1/06,01W,STOREBRAND ASA
GBR,15649,31/1/06,01W,HIGHWAY INSURANCE GROUP PLC
JPN,15651,31/1/06,01W,SUMITOMO MITSUI TRUST BANK L
HKG,15652,31/1/06,01W,SUN HUNG KAI & CO LTD
SWE,15654,31/1/06,01W,SVENSKA HANDELSBANKEN
JPN,15659,31/1/06,02W,TOKIO MARINE HOLDINGS INC
GBR,15664,31/1/06,01W,RSA INSURANCE GROUP PLC
JPN,15668,31/1/06,01W,ORIX CORP
JPN,15669,31/1/06,01W,MIZUHO TRUST & BANKING CO
DEU,15677,31/1/06,01W,MUNICH RE CO
,41835,31/12/20,01W,
CHE,15678,31/1/06,02W,LUZERNER KANTONALBANK
SGP,15679,31/1/06,01W,UNITED OVERSEAS BANK LTD
HKG,15697,29/2/16,03W,HENDERSON LAND DEVELOPMT LTD
DEU,15681,31/1/06,01W,ERGO VERSICHERUNGSGRUPPE AG
MYS,15688,31/1/06,01W,MALAYAN BANKING BERHAD
GBR,15696,31/1/06,01W,GREAT PORTLAND ESTATES PLC
JPN,15698,31/1/06,01W,JAPAN SECURITIES FINANCE CO
SWE,15699,31/1/06,01W,INVESTOR AB PUBL
IRL,15702,31/1/06,01W,ANGLO IRISH BANK CORP
BEL,15703,31/1/06,01W,KBC GROUP NV
CHE,15705,31/1/06,02W,GENERALI (SCHWEIZ) HOLDING
DEU,15724,31/1/06,01W,ALLIANZ SE
DEU,15725,31/1/06,01W,ALLIANZ LEBENSVERSICHERUNGS
ITA,15726,31/1/06,01W,BNL-BANCA NAZIONALE LAVORO
AUT,15730,31/1/06,01W,OBERBANK AG
ZAF,15781,31/8/17,03W,STANDARD BANK GROUP LTD
BEL,15734,31/1/06,01W,BANQUE NATIONALE DE BELGIQUE
JPN,15736,31/1/06,01W,SBI SHINSEI BANK LTD
MYS,15742,31/1/06,01W,RHB BANK BHD
,41897,31/12/21,01W,
SGP,15743,31/1/06,01W,DBS GROUP HOLDINGS LTD
ITA,15745,31/1/06,03W,CREDITO EMILIANO SPA
JPN,15748,31/1/06,01W,CHIBA BANK LTD
HKG,15749,31/1/06,03W,HYSAN DEVELOPMENT CO LTD
JPN,15750,31/1/06,01W,HIROGIN HOLDINGS INC
SGP,15753,31/1/06,01W,OVERSEA CHINESE BANKING
AUS,15756,31/1/06,01W,QBE INSURANCE GROUP LIMITED
,15761,31/1/06,01W,
ITA,15764,31/1/06,01W,BANCO DI SARDEGNA
GBR,15767,31/1/06,01W,HAMMERSON PLC
HKG,15769,31/1/06,01W,WHEELOCK PROPERTIES LTD
MYS,15771,31/1/06,01W,SELANGOR PROPERTIES BHD
SGP,15772,31/1/06,01W,SINGAPORE LAND LTD
FIN,15773,31/1/06,01W,SAMPO PLC
GBR,15778,31/1/06,01W,BLACKROCK THROGMORTON TR PLC
,41981,31/12/21,01W,
JPN,15779,31/1/06,01W,MS&AD INS GROUP HLDGS INC
GBR,15782,31/1/06,01W,PRUDENTIAL PLC
FRA,15784,31/1/06,01W,SOCIETE GENERALE GROUP
ITA,15786,31/1/06,01W,RAS HOLDINGS SPA
ITA,15787,31/1/06,04W,TORO ASSICURAZIONE
ITA,15804,31/1/06,01W,ASSICURAZIONI GENERALI SPA
CHE,15805,31/1/06,02W,GAM HOLDING LTD
ESP,15809,31/1/06,01W,BANCO PASTOR
