fic,gvkey,datadate,iid,conm
,38188,31/12/19,01W,
,38412,31/12/19,01W,
,38560,31/12/20,01W,
,38594,31/12/19,01W,
CYM,38743,31/10/24,01W,QINIU LIMITED
,38821,31/12/19,01W,
,38870,31/1/19,01W,
,38915,31/1/19,01W,
,38927,31/3/19,01W,
,38936,31/12/19,01W,
,38954,31/12/19,01W,
,39041,31/12/19,01W,
,39092,31/12/20,01W,
,39103,30/6/21,01W,
,39122,31/12/19,01W,
,39182,31/12/19,01W,
,39246,31/12/19,01W,
,39310,31/1/19,01W,
,39319,31/12/19,01W,
,39561,31/12/20,01W,
,39651,31/12/19,01W,
,39787,31/12/19,01W,
BMU,39791,31/3/21,01W,ROIVANT SCIENCES LTD
,39963,31/12/19,01W,
,40248,31/12/20,01W,
,40290,31/12/20,01W,
,40383,31/12/20,01W,
,40530,31/12/19,01W,
,40614,31/1/22,01W,
,41050,30/9/20,01W,
,41059,31/12/20,01W,
,41366,31/12/20,01W,
CHE,43362,31/10/23,01W,SANDOZ GROUP AG
,43651,31/5/21,01W,
,45167,31/12/22,01W,
,45169,31/12/22,01W,
,45511,31/3/22,01W,
,50345,31/12/22,01W,
,50688,30/9/22,01W,
,50720,31/12/22,01W,
,50838,31/12/22,01W,
ARG,60844,31/1/06,01W,CENTRAL PUERTO SA
,65921,31/5/07,01W,
,60882,31/1/06,01W,
ZAF,60918,31/1/06,01W,ARCELORMITTAL SOUTH AFRICA
,61027,31/1/06,01W,
COL,61067,31/1/06,01W,GRUPO CIBEST SA
,61129,31/1/06,01W,
BRA,61134,31/1/06,01W,UNIBANCO UNIAO DE BANCO
NLD,61214,31/1/06,01W,ASML HOLDING NV
BMU,61302,31/1/06,01W,ARCH CAPITAL GROUP LTD
NLD,61385,31/1/06,01W,BAAN CO NV
,61433,31/1/06,01W,
NLD,61440,31/1/06,01W,KONINKLIJKE KPN NV
MEX,61761,31/10/23,04W,GRUPO ELEKTRA SA DE CV
BMU,61452,31/1/06,01W,CREDICORP LTD
IDN,61533,31/1/06,01W,INDAH KIAT PULP & PAPER (PT)
GBR,100031,31/1/21,03W,MOTHERCARE PLC
ISR,61536,31/10/07,02W,POINTER TELOCATION LTD
CHL,61538,31/1/06,01W,ALMENDRAL SA
IDN,61548,31/1/06,01W,PERUSAHAAN PERSEROAN
,189579,31/12/17,02W,
,129000,31/5/15,01W,
ITA,61616,31/1/06,01W,ENI SPA
,61711,31/1/06,01W,
,61759,31/1/06,01W,
NLD,61814,31/1/06,01W,BE SEMICONDUCTOR INDUSTRIES
ISR,61902,31/1/06,01W,NICE LTD
,62137,31/1/06,01W,
PNG,62344,31/1/06,01W,LIHIR GOLD LTD
,62363,31/1/06,01W,
NZL,62403,31/1/06,01W,FLETCHER BUILDING LTD
RUS,62806,31/1/17,03W,MOSENERGO PJSC
GRC,62410,31/1/06,01W,ALPHA BANK SA
ISR,62460,31/1/06,01W,CIMATRON LTD
LUX,62510,31/1/06,01W,QUINSA-QUILMES INDUSTRIAL SA
SWE,62557,31/1/06,06W,SCANIA AB
GBR,62631,31/1/06,01W,PREMIER FARNELL PLC
FIN,62765,31/1/06,01W,FORTUM ESPOO OYJ
BRA,62789,31/1/06,01W,M&G POLIESTER SA
TWN,62824,31/1/06,01W,MACRONIX INTL CO LTD
CHN,62844,31/1/06,01W,GUANGSHEN RAILWAY CO LTD
GBR,62945,31/1/06,01W,MANAGEMENT CONSULTING GROUP
GBR,62961,31/1/06,02W,SERICA ENERGY PLC
ZAF,62997,31/1/06,01W,NAMPAK LTD
NZL,63050,31/1/06,01W,TOLL NZ LTD
ISR,63055,31/1/06,01W,HOT TELECOMMUNICATION SYS
BMU,63064,31/1/06,01W,ASIA SATELLITE TELECOM LTD
CHL,63069,31/1/06,02W,BCO BILBAO VIZCAUA ARG CHILE
FRA,63120,31/1/06,01W,AXA SA
FRA,63169,31/1/06,01W,DASSAULT SYSTEMES SE
ISR,63185,31/1/06,01W,CHECK POINT SOFTWARE TECHN
NLD,63186,31/1/06,01W,QIAGEN NV
,63192,31/1/06,01W,
PER,63205,31/1/06,02W,INTEGRATEL PERU SAA
,63264,31/1/06,01W,
DEU,63265,31/1/06,01W,PFEIFFER VACUUM TECHNOLOGY
CHN,64336,31/1/21,05W,CHINA EASTERN AIRLINES CORP
IND,63285,31/1/06,01W,ARVIND LTD
ISR,63412,31/1/06,01W,ALON BLUE SQUARE ISRAEL
GBR,63477,31/1/06,01W,BAE SYSTEMS PLC
CHE,63546,31/1/06,04W,SWISS RE LTD
IND,63552,31/1/06,01W,INDO RAMA SYNTHETICS (INDIA)
GBR,63577,31/1/06,01W,BLACKROCK WORLD MINING TRUST
IRL,63590,31/1/06,01W,BANK OF IRELAND GROUP PLC
ISR,63671,31/1/06,01W,BEEIO HONEY LTD
FRA,63759,31/1/06,01W,SCOR SE
IND,63783,31/1/06,01W,BERGER PAINTS INDIA LTD
IND,63830,31/1/06,01W,MARICO LTD
BRA,63904,31/1/06,01W,COMPANHIA BRASILEIRA DE DIST
NLD,63914,31/1/06,02W,CNH GLOBAL NV
,131566,31/1/06,01W,
BRA,63922,31/1/06,01W,NET SERVICOS COMUNICACAO SA
,63966,31/1/06,01W,
,63975,31/1/06,01W,
BMU,63987,31/1/06,01W,VEON LTD
VEN,64024,31/1/06,01W,CANTV-CA NAC TELEFONOS VENEZ
SWE,64057,31/1/06,01W,BIACORE INTL AB
LUX,64110,31/1/06,02W,COLT GROUP SA
BMU,64159,31/1/06,01W,APT SATELLITE HLDGS LTD
RUS,64181,31/1/06,01W,TATNEFT PJSC
PER,64221,31/1/06,01W,TELEFONICA MOVILES PERU SA
AUS,64252,31/1/06,01W,MOSAIC OIL NL
ISR,64325,31/1/06,01W,BLUEPHOENIX SOLUTIONS LTD
FRA,64386,31/1/06,01W,ILOG SA
DEU,64395,31/1/06,01W,RINOL AG
IRL,64420,31/1/06,01W,IONA TECHNOLOGIES PLC
GBR,64541,31/1/06,01W,COE GROUP PLC
,64547,31/1/06,01W,
GBR,64574,31/1/06,01W,BIOCOMPATIBLES INTL PLC
BRA,64577,31/1/06,01W,COPEL-CIA PARANAENSE ENERGIA
IRL,64835,30/4/11,03W,RYANAIR HOLDINGS PLC
BRA,64601,31/1/06,01W,GRUPO CASAS BAHIA S A
,190455,31/7/10,01W,
,64624,31/1/06,01W,
,64644,31/1/06,01W,
IRL,64649,31/1/06,01W,CELTIC RESOURCES HLDGS PLC
NLD,64705,31/1/06,02W,EASE2PAY NV
CHL,64746,31/1/06,01W,HIPERMARC SA
AUS,64837,31/1/06,01W,CVI ENERGY CORP LTD
SWE,64894,31/1/06,02W,BOLIDEN AB (PUBL)
PRT,64910,31/1/06,01W,EDP S A
ARG,64917,31/1/06,04W,NORTEL INVERSORA SA
,64929,31/1/06,01W,
CHL,64981,31/1/06,01W,QUINENCO SA
,64984,31/1/06,01W,
AUS,64987,31/1/06,01W,AUSTRALASIAN RESOURCES LTD
PHL,65025,31/1/06,01W,PHILIPPINE NATIONAL BANK
FRA,65166,30/11/22,02W,LANSON-BCC
,65114,31/1/06,01W,
FRA,65211,31/1/06,01W,SIRAGA SA
LUX,65248,31/1/06,01W,ARCELORMITTAL
MEX,65292,31/1/06,01W,TV AZTECA SA DE CV
ISR,65379,31/1/06,01W,ELBIT IMAGING LTD
ISR,65380,31/1/06,01W,ELBIT SYSTEMS LTD
SWE,65423,31/1/06,01W,MODERN TIMES GROUP MTG AB
PRT,65439,31/1/06,01W,THE NAVIGATOR COMPANY SA
ISR,65460,31/1/06,01W,RADCOM
ISR,65461,31/1/06,01W,TEFRON LTD
BMU,65500,31/12/06,01W,NORDIC AMERICAN TANKERS LTD
,65556,31/1/06,01W,
ARG,65581,31/1/06,01W,BANCO SANTANDER ARGENTINA
HKG,65662,31/1/06,01W,CHINA MOBILE LTD
,65744,31/1/06,01W,
NOR,65767,31/1/06,01W,DOLPHIN DRILLING ASA
GBR,65783,31/1/06,01W,MELDEX INTL PLC
NZL,66001,31/1/06,01W,SKY NETWORK TELEVISION LTD
BEL,66022,31/1/06,02W,ICOS VISION SYSTEM NV
HRV,66174,31/1/06,01W,PLIVA DD
,66285,31/1/06,01W,
,66354,31/1/06,01W,
TWN,66600,31/1/06,01W,ASIA CEMENT CORP
VGB,66629,31/1/06,01W,JINPAN INTERNATIONAL LTD
,66659,31/1/06,01W,
ISR,66696,31/1/06,02W,FUNDTECH LTD
FRA,100001,31/1/06,01W,ACCOR SA
MYS,100003,31/1/06,01W,AMSTEEL CORP BHD
DEU,100004,31/1/06,01W,ALTANA AG
DEU,100010,31/1/06,01W,BAYWA AG
JPN,100012,31/1/06,01W,MITSUBISHI HEAVY INDUST LTD
FRA,100013,31/1/06,01W,SOCIETE BIC SA
JPN,100021,31/1/06,01W,MITSUBISHI TANABE PHARMA
DEU,100022,31/1/06,01W,BAYERISCHE MOTOREN WERKE AKT
MYS,100023,31/1/06,01W,HONG LEONG INDUSTRIES BHD
SGP,100025,31/1/06,01W,SINGAPORE PRESS HOLDINGS LTD
GBR,100035,31/12/12,03W,IBSTOCK PLC
DEU,100037,31/1/06,01W,LINDE AG
,129001,31/1/06,01W,
JPN,100039,31/1/06,01W,SANYO ELECTRIC CO LTD
GBR,100041,31/1/06,01W,WH SMITH PLC
DEU,100042,31/1/06,01W,MAN SE
GBR,100044,31/1/06,01W,SIMON GROUP PLC
GBR,100045,31/1/06,01W,SMITHS GROUP PLC
JPN,100048,31/1/06,01W,FANUC CORP
MYS,100050,31/1/06,02W,GENTING BHD
SGP,100051,31/1/06,02W,CEREBOS PACIFIC LTD
AUS,100053,31/1/06,01W,COAL & ALLIED INDUSTRIES LTD
DEU,100054,31/1/06,01W,HOCHTIEF AG
GBR,100057,31/1/06,01W,IMI PLC
GBR,100059,31/1/06,01W,600 GROUP PLC (THE)
GBR,100060,31/1/06,01W,TRAVIS PERKINS PLC
DEU,100061,31/1/06,01W,DEGUSSA AG
SGP,100062,31/1/06,01W,WBL CORP LTD
JPN,100064,31/1/06,01W,OKUMA CORP
DEU,100070,31/1/06,01W,DAHLBUSCH AG
MYS,100072,31/1/06,01W,MEASAT GLOBAL BHD
NLD,100075,31/1/06,01W,RELX NV
SGP,100076,31/1/06,01W,KEPPEL LTD
DEU,100080,31/1/06,01W,BAYER AG
SGP,100081,31/1/06,01W,ROBINSON & CO LTD
DEU,100083,31/1/06,01W,BEIERSDORF AG
GBR,100088,31/1/06,01W,COSTAIN GROUP PLC
JPN,100090,31/1/06,01W,TOKYO DOME CORP
GBR,100091,31/1/06,02W,RENTOKIL INITIAL PLC
CHE,100098,31/5/09,01W,PHOENIX MECANO AG
GBR,100094,31/1/06,01W,LAURA ASHLEY HOLDINGS PLC
GBR,100095,31/1/06,01W,BUNZL PLC
GBR,100099,31/1/06,01W,DE VERE GROUP PLC
DEU,100102,31/1/06,01W,BILFINGER SE
DEU,100103,31/1/06,01W,DEUTSCHE LUFTHANSA AG
JPN,100104,31/1/06,01W,SEIYU LTD
GBR,100107,31/1/06,01W,LAIRD PLC
GBR,100149,31/12/23,01W,NEXT PLC
GBR,100111,31/1/06,01W,PILKINGTON PLC
GBR,100114,31/1/06,01W,TELENT PLC
IRL,100119,31/1/06,01W,ABBEY PLC
GBR,100122,31/1/06,01W,SENIOR PLC
GBR,100123,31/7/07,02W,NORCROS PLC
DEU,100124,31/1/06,01W,KLOECKNER-WERKE AG
SGP,100126,31/1/06,01W,ASIA PACIFIC BREWERIES LTD
MYS,100130,31/1/06,01W,SIME ENGINEERING SERVICES
GBR,100131,31/1/06,01W,TESCO PLC
GBR,100132,31/1/06,02W,MORRISON (WM) SUPERMARKETS
DEU,100134,31/1/06,01W,CUSTODIA HOLDING AG
GBR,100135,31/1/06,02W,TATE & LYLE PLC
JPN,100140,31/1/06,01W,NISSIN FOOD HLDGS CO LTD
JPN,100145,31/1/06,01W,SUMITOMO METAL MINING CO LTD
GBR,100147,31/1/06,01W,LONMIN PLC
GBR,100148,31/1/06,01W,BRAMMER PLC
JPN,100153,31/1/06,01W,NIPPON YUSEN KABUSHIKI KAISH
JPN,100155,31/1/06,01W,NIPPON STEEL CORP
JPN,100156,31/1/06,01W,PANASONIC ELECTRIC WORKS CO
JPN,100158,31/1/06,01W,ENEOS HOLDINGS INC
JPN,100159,31/1/06,01W,AMANO CORP
JPN,100163,31/1/06,01W,MITSUBISHI RAYON CO LTD
AUS,100165,31/1/06,01W,SANTOS LTD
ZAF,100166,31/1/06,01W,BARLOWORLD LTD
GBR,100171,31/1/06,01W,BARRATT REDROW PLC
GBR,100174,31/1/06,01W,HALMA PLC
MYS,100182,31/1/06,01W,SARAWAK ENERGY BHD
GBR,100190,31/1/06,01W,DE LA RUE PLC
AUS,100192,31/1/06,03W,COCA-COLA AMATIL LTD
JPN,100194,31/1/06,02W,NIPPON MINING HLDGS INC
GBR,100202,31/1/06,01W,DAWSON INTERNATIONAL PLC
JPN,100208,31/1/06,01W,NH FOODS LTD
JPN,100213,31/1/06,01W,NIPPON LIGHT METAL HLDGS CO
GBR,100223,31/1/06,01W,CRODA INTERNATIONAL PLC
JPN,100226,31/1/06,01W,MURATA MANUFACTURING CO LTD
GBR,100229,31/1/06,01W,CRIMSON TIDE PLC
JPN,100230,31/1/06,01W,MOCHIDA PHARMACEUTICAL CO
JPN,100234,30/11/06,01W,AMADA CO LTD
GBR,100232,31/1/06,01W,JOHNSON SERVICE GROUP PLC
JPN,100235,31/1/06,01W,ALPS ALPINE CO LTD
JPN,100236,31/1/06,01W,MAKINO MILLING MACHINE CO
SGP,100239,31/1/06,01W,CHUAN HUP HOLDINGS LTD
GBR,100240,31/1/06,01W,ELEMENTIS PLC
SGP,100308,31/8/15,02W,NSL LTD
MYS,100241,31/1/06,01W,HEINEKEN MALAYSIA BHD
JEY,100243,30/6/19,05W,AMCOR PLC
GBR,100244,31/1/06,01W,AUSTIN REED GROUP PLC
JPN,100245,31/1/06,01W,ADVANTEST CORP
JPN,100247,31/1/06,01W,ANA HOLDINGS INC
GBR,100250,31/1/06,01W,REACH PLC
AUS,100251,31/1/06,01W,AGL ENERGY
JPN,100253,31/1/06,01W,AJINOMOTO CO INC
JPN,100258,31/1/06,01W,ASAHI KASEI CORP
JPN,100259,31/1/06,01W,AGC INC
DEU,100260,31/1/06,01W,ANZAG-ANDREAE-NORIS ZAHN AG
GBR,100262,31/1/06,01W,FENNER PLC
JPN,100264,31/1/06,01W,MITSUBISHI PAPER MILLS LTD
MYS,100267,31/1/06,01W,CYCLE & CARRIAGE BINTANG BHD
JPN,100270,31/1/06,01W,HITACHI KOKUSAI ELECTRIC INC
JPN,100272,31/1/06,01W,KOKUYO CO LTD
JPN,100276,31/1/06,01W,KOBE STEEL LTD
GBR,100277,31/1/06,01W,ANITE PLC
GBR,100280,31/1/06,01W,VESUVIUS PLC
MYS,100282,31/1/06,01W,PETRON MALAYSIA REFINING
MYS,100286,31/1/06,01W,HIGHLANDS & LOWLANDS BHD
JPN,100288,31/1/06,01W,KAWASAKI HEAVY INDUSTR LTD
JPN,100290,31/1/06,01W,ONO PHARMACEUTICAL CO LTD
GBR,100292,31/1/06,01W,MORGAN ADVANCED MATERIALS
DEU,100295,31/1/06,01W,PILKINGTON DEUTSCHLAND AG
SGP,100296,31/1/06,01W,JARDINE CYCLE & CARRIAGE LTD
IRL,100297,31/1/06,01W,INDEPENDENT NEWS & MEDIA PLC
GBR,100298,31/1/06,01W,BPB PLC
DEU,100301,31/1/06,01W,DEUTZ AG
JPN,100302,31/1/06,01W,KANSAI ELECTRIC POWER CO
JPN,100306,31/1/06,01W,KANEKA CORP
JPN,100309,31/1/06,01W,ITOHAM YONEKYU HOLDINGS INC
MYS,100310,31/1/06,01W,KULIM (MALAYSIA) BHD
DEU,100312,31/1/06,01W,RHEINMETALL AG
NLD,100318,31/1/06,02W,TELEGRAAF MEDIA GROEP NV
DEU,100321,31/1/06,01W,ROSENTHAL AG
DEU,100323,31/1/06,01W,BABCOCK BORSIG AG
NLD,100324,31/1/06,01W,STORK NV
SGP,100333,31/1/06,01W,INTRACO LTD
JPN,100336,31/1/06,01W,DAIICHI SANKYO COMPANY LTD
GBR,100338,31/1/06,01W,RELX PLC
SGP,100340,31/1/06,01W,FRASER & NEAVE LTD
SWE,100341,31/1/06,01W,TELIGENT AB
FRA,100346,31/1/06,01W,CARREFOUR SA
GBR,100348,31/1/06,01W,DELTA PLC
DEU,100354,31/1/06,01W,DIDIER-WERKE AG
GBR,100355,31/1/06,01W,UNIQ PLC
DEU,100359,31/1/06,01W,ARMSTRONG DLW AG
JPN,100362,31/1/06,01W,IHI CORP
GBR,100363,31/1/06,01W,AMEC FOSTER WHEELER PLC
JPN,100365,31/1/06,01W,HOKKAIDO ELECTRIC POWER CO
MYS,100367,31/1/06,01W,COMFORT GLOVES BHD
DEU,100373,29/2/20,07W,HEIDELBERG MATERIALS AG
DEU,100368,31/1/06,01W,GEA GROUP AG
JPN,100369,31/1/06,01W,BRIDGESTONE CORP
JPN,100375,31/1/06,01W,CHIYODA CO LTD
GBR,100376,31/1/06,01W,SIGNATURE AVIATION PLC
JPN,100400,31/10/10,02W,GREEN CROSS CO LTD
GBR,100380,31/1/06,01W,INSTORE
JPN,100382,31/1/06,01W,DAICEL CORP
JPN,100384,31/1/06,01W,DAIEI INC
JPN,100385,31/1/06,01W,DENKA CO LTD
NLD,100386,31/1/06,01W,GAMMA HOLDING NV
JPN,100388,31/1/06,01W,SCREEN HOLDINGS CO LTD
GBR,100390,31/1/06,01W,BALFOUR BEATTY PLC
JPN,100393,31/1/06,01W,HITACHI METALS LTD
JPN,100396,31/1/06,01W,SEIKO GRP CORP
JPN,100397,31/1/06,01W,HASEKO CORP
GBR,100401,31/1/06,01W,SPIRENT COMMUNICATIONS
JPN,100408,31/1/06,01W,EBARA CORP
JPN,100410,31/1/06,01W,CHINO CORP
DEU,100411,31/1/06,01W,PHILIPP HOLZMANN AG
GBR,100417,31/1/06,01W,CAFFYNS PLC
JPN,100418,31/1/06,01W,EISAI CO LTD
JPN,100420,31/1/06,01W,MARUDAI FOOD CO LTD
MYS,100422,31/1/06,01W,GOLDEN HOPE PLANTATIONS BHD
BMU,100424,31/1/06,03W,JARDINE MATHESON HLDGS LTD
SGP,100425,31/1/06,01W,HAW PAR CORP LTD
SGP,100426,31/1/06,01W,WHEELOCK PROPERTIES (SGP)
GBR,100427,31/1/06,02W,AVIS EUROPE PLC
DEU,100431,31/1/06,02W,HAPAG-LLOYD AG
GBR,100432,31/1/06,01W,BERENDSEN PLC
JPN,100433,31/1/06,01W,HOYA CORP
ZAF,100434,31/1/06,01W,AVI LTD
JPN,100435,31/1/06,01W,ITOCHU CORP
JPN,100436,31/1/06,01W,DAIKYO INC
JPN,100438,31/1/06,01W,CITIZEN WATCH CO LTD
JPN,100486,30/9/20,01W,NIKON CORP
JPN,100439,31/1/06,01W,CHUGOKU ELECTRIC POWER CO
JPN,100441,31/1/06,01W,CHUGAI PHARMACEUTICAL CO LTD
AUS,100442,31/1/06,01W,ORICA LTD
JPN,100444,31/1/06,01W,NIPPON PAPER INDUSTRIES CO
DEU,100449,31/1/06,01W,KUKA AG
,131578,31/1/06,01W,
JPN,100450,31/1/06,01W,CHUBU ELECTRIC POWER CO INC
GBR,100456,31/1/06,02W,NATIONWIDE ACCIDENT REPAIR
DEU,100457,31/1/06,01W,HOLSTEN-BRAUEREI AG
DEU,100458,31/1/06,01W,STRABAG AG
GBR,100459,31/1/06,01W,ASSOC BRITISH PORTS HLDG PLC
AUS,100461,31/1/06,01W,BRAMBLES LTD
ZAF,100465,31/1/06,01W,SASOL LTD
GBR,100468,31/1/06,01W,CREST NICHOLSON PLC
GBR,100470,31/1/06,01W,NORTHERN FOODS PLC
GBR,100472,31/1/06,03W,SABMILLER PLC
IRL,100477,31/1/06,90W,JAMES HARDIE INDUSTRIES PLC
CHE,100478,31/1/06,01W,SOC ELETTRICA SOPRACENERINA
DEU,100479,31/1/06,01W,ARCANDOR AG
GBR,100482,31/1/06,01W,STYLO PLC
GBR,100484,31/1/06,01W,LAING (JOHN) PLC
JPN,100488,31/1/06,01W,KYUSHU ELECTRIC POWER CO INC
JPN,100490,31/1/06,01W,KONICA MINOLTA INC
JPN,100491,31/1/06,01W,JTEKT CORP
GBR,100493,31/1/06,01W,SALVESEN CHRISTIAN PLC
FRA,100496,31/1/06,01W,ETABLISSEMENTS ARBEL SA
GBR,100498,31/1/06,02W,RENISHAW PLC
GBR,100499,31/1/06,01W,ROLLS-ROYCE HLDGS PLC
GBR,100506,31/1/06,01W,GREENE KING PLC
GBR,100508,31/1/06,01W,OXFORD INSTRUMENTS PLC
JPN,100515,31/1/06,01W,PENTAX CORP
JPN,100516,31/1/06,01W,KYOWA KIRIN CO LTD
FRA,100517,31/1/06,01W,DASSAULT AVIATION SOCIETE
JPN,100519,31/1/06,01W,BROTHER INDUSTRIES LTD
JPN,100522,31/1/06,01W,MITSUI FUDOSAN CO LTD
JPN,100526,31/1/06,01W,ISETAN MITSUKOSHI HOLDINGS
GBR,100530,31/1/06,01W,CARR'S GROUP PLC
GBR,100533,31/1/06,01W,MPAC GROUP PLC
GBR,100536,31/1/06,01W,MENZIES (JOHN) PLC
BMU,100540,31/1/06,01W,STELUX HOLDINGS INTERNL LTD
FRA,100557,30/9/09,02W,SUEZ
JPN,100545,31/1/06,01W,MARUBENI CORP
JPN,100547,31/1/06,01W,MARUI GROUP CO LTD
JPN,100548,31/1/06,01W,MAZDA MOTOR CORP
JPN,100555,31/1/06,01W,MITSUBISHI CORP
HKG,100562,31/1/06,01W,SWIRE PACIFIC LTD
JPN,100563,31/1/06,01W,MITSUBISHI GAS CHEMICAL CO
FRA,100581,31/10/18,03W,LOREAL SA
JPN,100565,31/1/06,01W,MITSUBISHI MATERIALS CORP
JPN,100569,31/1/06,01W,MITSUBISHI LOGISTICS CORP
GBR,100572,31/1/06,01W,PEARSON PLC
JPN,100574,31/1/06,01W,MITSUI OSK LINES LTD
GBR,100575,31/1/06,01W,PZ CUSSONS PLC
GBR,100580,31/1/06,02W,SCAPA GROUP PLC
DEU,100582,31/1/06,01W,SCA HYGIENE PRODUCTS SE
JPN,100583,31/1/06,01W,MAEDA CORP
GBR,100587,31/1/06,01W,ALLIANCE BOOTS PLC
DEU,100590,31/1/06,01W,E.ON SE
GBR,100591,31/1/06,01W,CHAPELTHORPE PLC
GBR,100596,31/1/06,01W,BSS GROUP PLC
NLD,100599,31/1/06,01W,CORPORATE EXPRESS NV
IRL,100602,31/1/06,01W,FYFFES PLC
DEU,100609,31/1/06,01W,CONTINENTAL AG
GBR,100613,31/1/06,01W,RENOLD PLC
GBR,100619,31/1/06,01W,SPIRAX GROUP PLC
GBR,100623,31/1/06,01W,AGA RANGEMASTER GROUP PLC
JPN,100625,31/1/06,01W,UNY GROUP HOLDINGS CO LTD
NLD,100635,31/1/06,02W,CORBION NV
JPN,100638,31/1/06,01W,OKUMURA CORP
JPN,100639,31/1/06,01W,SAPPORO HOLDINGS LTD
JPN,100640,31/1/06,01W,SEKISUI CHEMICAL CO LTD
GBR,100701,30/4/09,01W,API GROUP PLC
JPN,100641,31/1/06,01W,STANLEY ELECTRIC CO LTD
JPN,100643,31/1/06,01W,TAISHO PHARMACEUTICAL HLDGS
HKG,100648,31/1/06,01W,HONGKONG & SHANGHAI HOTELS
,129018,31/1/06,01W,
GBR,100650,31/1/06,01W,WEIR GROUP PLC
HKG,100652,31/1/06,01W,CHINA MOTOR BUS CO LTD
GBR,100654,31/1/06,01W,MJ GLEESON PLC
JPN,100658,31/1/06,01W,TOKYO ELECTRON LTD
GBR,100659,31/1/06,01W,MARSTONS PLC
JPN,100660,31/1/06,01W,TOKYU CORP
JPN,100662,31/1/06,01W,TOYO KANETSU KK
GBR,100663,31/1/06,01W,SYGEN INTERNATIONAL PLC
JPN,100664,31/1/06,01W,UNITIKA LTD
HKG,100665,31/1/06,01W,CLP HOLDINGS LTD
JPN,100667,31/1/06,01W,YAMAHA MOTOR CO LTD
JPN,100668,31/1/06,01W,ASTELLAS PHARMA INC
GBR,100669,31/1/06,01W,FISHER (JAMES) AND SONS PLC
JPN,100670,31/1/06,01W,YAMATO HOLDINGS CO
JPN,100671,31/1/06,01W,YOKOGAWA ELECTRIC CORP
DEU,100676,31/1/06,01W,TUI AG
GBR,100678,31/1/06,01W,WAGON PLC
JPN,100680,31/1/06,01W,PENTA-OCEAN CONSTRUCTION CO
JPN,100681,31/1/06,01W,NISSHIN STEEL CO LTD
JPN,100683,31/1/06,01W,NITTO DENKO CORP
JPN,100686,31/1/06,01W,OLYMPUS CORP
JPN,100688,31/1/06,01W,TOKYO ELECTRIC POWER CO HOLD
JPN,100689,31/1/06,01W,SUMITOMO CHEMICAL CO LTD
JPN,100690,31/1/06,01W,TOHOKU ELECTRIC POWER CO INC
JPN,100691,31/1/06,01W,NIPPON EXPRESS HOLDINGS INC
JPN,100692,31/1/06,01W,NIPPON SHEET GLASS CO LTD
JPN,100694,31/1/06,01W,SUMITOMO HEAVY INDUSTRIES
SGP,100695,31/1/06,01W,STRAITS TRADING CO LTD
JPN,100696,31/1/06,01W,RESONAC HOLDINGS CORPORATION
JPN,100697,31/1/06,01W,SHIN-ETSU CHEMICAL CO LTD
JPN,100699,31/1/06,01W,SHARP CORP
SGP,100700,31/1/06,01W,UNITED ENGINEERS LTD
JPN,100702,31/1/06,01W,USHIO INC
JPN,100703,31/1/06,01W,TSI HOLDINGS CO LTD
SGP,100704,31/1/06,01W,SINGAPORE LAND GROUP LIMITED
SGP,100706,31/1/06,01W,KEPPEL LAND LTD
JPN,100707,31/1/06,01W,SHIONOGI & CO LTD
AUS,100712,31/1/06,01W,WOODSIDE ENERGY GROUP LTD
SGP,100713,31/1/06,01W,SINGAPORE AIRLINES LTD
JPN,100716,31/1/06,01W,YASKAWA ELECTRIC CORP
JPN,100718,31/1/06,01W,TAKEDA PHARMACEUTICAL CO LTD
SGP,100720,31/1/06,01W,NEPTUNE ORIENT LINES LTD
JPN,100721,31/1/06,01W,OKI ELECTRIC INDUSTRY CO LTD
DEU,100722,31/1/06,01W,VARTA AG
JPN,100724,31/1/06,01W,TORAY INDUSTRIES INC
GBR,100728,31/1/06,01W,BELLWAY PLC
JPN,100729,31/1/06,01W,TOPPAN HOLDINGS INC
GBR,100730,31/1/06,01W,AVON TECHNOLOGIES PLC
GBR,100734,31/1/06,02W,RENEW HOLDINGS
DEU,100735,31/1/06,01W,AGIV REAL ESTATE AG
DEU,100736,31/1/06,01W,K&S AG
DEU,100737,31/1/06,01W,VOLKSWAGEN AG
BEL,100743,31/1/06,01W,BEKAERT SA/NV
SWE,100744,31/1/06,01W,HOLMEN AB
DEU,100746,31/1/06,04W,CECONOMY AG
DEU,100749,31/1/06,01W,DOUGLAS HOLDING AG
BEL,100751,31/1/06,01W,UCB SA
GBR,100760,31/1/06,01W,KINGFISHER PLC
DEU,100764,31/1/06,01W,SUEDZUCKER AG
ZAF,100767,31/1/06,01W,AECI LTD
BEL,100769,31/1/06,01W,TESSENDERLO GROUP N.V
BEL,100790,31/10/06,01W,RECTICEL SA
NLD,100771,31/1/06,01W,ROYAL IMTECH NV
BEL,100773,31/1/06,02W,UMICORE SA
GBR,100774,31/1/06,01W,JOHNSON MATTHEY PLC
NLD,100775,31/1/06,02W,NUMICO (KONINKLIJKE) NV
NLD,100778,31/1/06,01W,SBM OFFSHORE NV
NLD,100780,31/1/06,01W,KONINKLIJKE TEN CATE NV
BEL,100781,31/1/06,01W,DELHAIZE GROUP - ETS DLHZ FR
NLD,100783,31/1/06,02W,VOPAK (KONINKLIJKE) NV
SGP,100784,31/1/06,02W,AURIC PACIFIC GROUP
