gvkey,datadate,iid,tic,cusip,conm,tpci,cik
002124,31/1/05,01,BELFA,077347201,BEL FUSE INC,0,0000729580
002136,31/1/05,01,VZ,92343V104,VERIZON COMMUNICATIONS INC,0,0000732712
002137,31/1/05,01,BCE,05534B760,BCE INC,0,0000718940
002138,31/1/05,01,BLLI,078111200,BELL INDUSTRIES INC,0,0000945489
002146,31/1/05,01,BLS,079860102,BELLSOUTH CORP,0,0000732713
002150,31/1/05,01,BLC,080555105,BELO CORP  -SER A COM,0,0000356080
002154,31/1/05,01,BMS,081437105,BEMIS CO INC,0,0000011199
002158,31/1/05,01,3DOCPE,256095100,DOCPLANET.COM INC,0,0000312651
002162,31/1/05,01,BENG,081851206,BENGUET CORP,0,0000011290
002163,31/1/05,01,BNHN,082047101,BENIHANA INC,0,0000935226
002176,31/1/05,01,BRK.A,084670108,BERKSHIRE HATHAWAY,0,0001067983
002184,31/1/05,01,BBY,086516101,BEST BUY CO INC,0,0000764478
002185,31/1/05,02,BESOQ,086553104,BEST PRODUCTS,0,0000011821
002188,31/1/05,01,BEHP,087257101,BETHLEHEM CORP,0,0000011856
002193,31/1/05,01,BEV.1,087851309,BEVERLY ENTERPRISES INC,0,0001040441
002200,31/1/05,01,4313B,088864103,BIFLYX,0,
002204,31/1/05,01,NEGI,635812209,NATIONAL ENERGY GROUP,0,0000870756
002205,31/1/05,01,BSKT.2,089539209,BIG SKY TRANSPORTATION,0,0000313522
002215,31/1/05,01,SMCO.1,79587E104,SAMES CORP,0,0000012180
002220,31/1/05,01,BIO,090572207,BIO-RAD LABORATORIES INC,0,0000012208
002222,31/1/05,01,SVNTQ,80517Q100,SAVIENT PHARMACEUTICALS INC,0,0000722104
002230,31/1/05,01,BMET,090613100,BIOMET INC,0,0000351346
002236,31/1/05,01,3BTEL,09067F107,BIOTEL INC,0,0001300128
002237,31/1/05,01,SPEX.2,84899R934,SPHERIX INC  -OLD,0,0001584361
002240,31/1/05,01,NIMU,655366508,NON INVASIVE MONITOR,0,0000720762
002246,31/1/05,01,BLSC,090909102,BIO-LOGIC SYSTEMS CORP,0,0000355007
002250,31/1/05,01,BSYN,090917105,BIOSYNERGY INC,0,0000715812
002251,31/1/05,01,3MFLU,595074105,MICROFLUIDICS INTL CORP,0,0000723889
002255,31/1/05,01,BDK,091797100,BLACK & DECKER CORP,0,0000012355
002258,31/1/05,01,BBAN,11130Q102,BROADBAND WIRELESS INTL CORP,0,0000012388
002259,31/1/05,01,BKH,092113109,BLACK HILLS CORP,0,0001130464
002264,31/1/05,01,LEXPQ,529529109,LEXINGTON PRECISION CORP,0,0000012570
002269,31/1/05,01,HRB,093671105,BLOCK H & R INC,0,0000012659
002270,31/1/05,01,VALPQ,G9402V109,VALARIS LIMITED,0,0000314808
002271,31/1/05,01,BLT,095180105,BLOUNT INTL INC,0,0001001606
002277,31/1/05,02,3BLRGZ,096005103,BLUE RIDGE REAL ESTATE CO,4,0000012779
002282,31/1/05,01,BOBE,096761101,BOB EVANS FARMS,0,0000033769
002285,31/1/05,01,BA,097023105,BOEING CO,0,0000012927
002287,31/1/05,01,BGUE,097305106,BOGUE ELECTRIC MFG CO,0,0000012953
002290,31/1/05,01,OMX,67622P101,OFFICEMAX INC,0,0000012978
002295,31/1/05,01,BOLT.1,097698104,BOLT TECHNOLOGY CORP,0,0000354655
002299,31/1/05,01,CDIC,141597302,CARDIODYNAMICS INTL CORP,0,0000719722
002302,31/1/05,02,KJFI,20047F109,COMJOYFUL INTERNATIONAL CO,0,0000013033
002312,31/1/05,01,RHI,770323103,ROBERT HALF INC,0,0000315213
002328,31/1/05,01,NST,67019E107,NSTAR,0,0001035675
002337,31/1/05,01,ABWTQ,003687100,RESOLUTE FOREST PRODUCTS INC,0,0001393066
002338,31/1/05,90,REXMY,761655604,REXAM PLC,F,0000013522
002340,31/1/05,01,ENTP,293847109,ENTRPRIZE CORP,0,0000013547
002342,31/1/05,01,BWL.A,102565108,BOWL AMERICA INC  -CL A,0,0000013573
002343,31/1/05,01,BOWE,102590304,BOWLES FLUIDICS CORP,0,0000013585
002345,31/1/05,01,WEDC,963801105,WHITE ELECTRONIC DESIGNS CP,0,0000013606
002346,31/1/05,01,BNE.1,103043105,BOWNE & CO INC,0,0000013610
002348,31/1/05,01,BOZZ,103736104,BOZZUTOS INC,0,0000013682
002352,31/1/05,01,BRC,104674106,BRADY CORP,0,0000746598
002369,31/1/05,01,BN,11271J107,BROOKFIELD CORP,0,0001001085
002381,31/1/05,01,BRER,107336109,BRESLER & REINER INC,0,0000014073
002390,31/1/05,01,BRID,108763103,BRIDGFORD FOODS CORP,0,0000014177
002393,31/1/05,01,BGGSQ,109043109,BRIGGS & STRATTON,0,0000014195
002396,31/1/05,01C,VN.,92733B106,VINCOR INTL INC,0,
002402,31/1/05,02,MSGI,553570102,MSGI SECURITY SOLUTIONS INC,0,0000014280
002403,31/1/05,01,BMY,110122108,BRISTOL-MYERS SQUIBB CO,0,0000014272
002406,31/1/05,01C,CTL.,14888T104,CATALYST PAPER CORP,0,0001144906
002408,31/1/05,01C,T.,87971M103,TELUS CORP,0,0000868675
002410,31/1/05,90,BP,055622104,BP PLC,F,0000313807
002411,31/1/05,90,BTY10,05577E101,BT GROUP PLC,F,0000756620
002417,31/1/05,01,7479B,457948107,INTEGRA A HOTEL & REST,0,0000316740
002419,31/1/05,01,3BRDE,112052105,BRODIE EXPLORATION CORP,0,0000014423
002433,31/1/05,01,BNSSA,055966402,BNS HOLDING CO,0,0000014637
002435,31/1/05,01,BF.B,115637209,BROWN FORMAN CORP,0,0000014693
002436,31/1/05,01,CAL,129500104,CALERES INC,0,0000014707
002444,31/1/05,01,BC,117043109,BRUNSWICK CORP,0,0000014930
002448,31/1/05,01,MTRN,576690101,MATERION CORP,0,0001104657
002464,31/1/05,01,TRUKQ,120084108,BUILDERS TRANSPORT INC,0,0000726617
002467,31/1/05,01,WNMLA,974259103,WINMILL & CO INC  -CL A,0,0000052234
002469,31/1/05,01,3BULV,120457106,BULOVA CORP,0,0000015310
002482,31/1/05,01,FRTN,34960D108,FORTRAN CORP,0,0000015486
002484,31/1/05,01,BCF.1,121579106,BURLINGTON COAT FACTORY INVS,0,0000718916
002490,31/1/05,01,BNI,12189T104,BURLINGTON NORTHERN SANTA FE,0,0000934612
002497,31/1/05,01,MTZ,576323109,MASTEC INC,0,0000015615
002504,31/1/05,01,UIS,909214306,UNISYS CORP,0,0000746838
002519,31/1/05,01,BUKS,123720104,BUTLER NATIONAL CORP,0,0000015847
002521,31/1/05,01,RUNI,761312107,REUNION INDUSTRIES INC,0,0001003429
002526,31/1/05,01,CAE,124765108,CAE INC,0,0001173382
002536,31/1/05,01,RAMP,53815P108,LIVERAMP HOLDINGS INC,0,0000733269
002537,31/1/05,01,CCBL,125010108,C-COR INC,0,0000350621
002538,31/1/05,01,CDI,125071100,CDI CORP,0,0000018396
002540,31/1/05,01,3AGDC,00936W108,AIRGUIDE INC,0,
002544,31/1/05,01,CGSC,125377101,C G S SCIENTIFIC CORP,0,0000019047
002547,31/1/05,01,CI,125523100,CIGNA GROUP (THE),0,0001739940
002554,31/1/05,01,CMLK,125820100,CML GROUP,0,0000729576
002555,31/1/05,01,CPICQ,125902106,CPI CORP,0,0000025354
002556,31/1/05,01,CSS,125906107,CSS INDUSTRIES INC,0,0000020629
002558,31/1/05,01,CNA,126117100,CNA FINANCIAL CORP,0,0000021175
002561,31/1/05,01,CPAK,126145101,CPAC INC,0,0000351717
